id_requester;id_requester;status;created_at;updated_at
53;13;a;2010-07-08 23:24:21;2014-05-22 12:28:52
80;54;a;2007-11-16 10:35:48;2014-04-06 18:42:07
72;90;a;2011-02-10 18:18:34;2014-05-16 09:17:34
24;5;p;2008-01-24 07:29:07;2014-01-03 18:35:07
26;57;a;2009-05-20 00:56:44;2013-04-07 04:39:07
31;50;a;2010-12-25 16:52:02;2013-03-02 16:01:08
80;75;r;2008-01-17 23:18:28;2012-11-29 01:51:55
89;91;a;2011-04-12 23:52:20;2013-07-08 08:22:36
4;30;r;2009-12-18 23:21:17;2013-03-06 03:30:29
83;2;r;2010-11-10 20:29:57;2014-05-11 02:41:15
91;89;a;2008-01-24 20:27:54;2014-03-08 09:13:57
93;28;a;2009-10-18 21:17:51;2014-10-11 20:52:06
85;77;p;2009-12-09 22:44:32;2014-07-14 20:31:43
26;42;a;2011-04-18 12:13:13;2013-04-05 04:43:34
17;93;a;2008-11-03 05:00:30;2014-04-03 18:29:50
84;81;r;2008-04-27 03:53:54;2013-11-12 14:02:27
11;16;r;2011-07-30 13:38:54;2013-04-17 14:34:57
17;69;p;2008-06-27 01:36:09;2014-05-14 07:13:09
57;43;a;2008-04-22 19:20:09;2014-04-30 10:34:12
71;98;r;2009-11-23 04:53:53;2013-07-04 07:48:58
75;10;r;2009-02-09 10:41:45;2014-11-20 06:39:49
52;1;p;2008-12-22 05:15:09;2013-01-16 14:18:13
94;75;r;2008-12-15 19:10:29;2014-05-26 11:44:27
56;18;r;2009-09-15 04:01:43;2014-05-14 19:01:28
34;32;p;2008-05-03 07:05:20;2014-01-14 03:45:10
1;5;r;2011-09-11 12:18:07;2012-12-02 08:38:55
48;76;a;2008-05-12 11:10:59;2013-12-17 15:37:00
74;74;a;2011-04-20 15:27:13;2013-04-21 22:33:34
83;41;p;2010-11-05 14:09:43;2013-11-30 09:32:40
42;52;a;2010-06-14 20:42:33;2013-04-25 11:34:03
27;75;p;2008-05-04 10:06:32;2014-11-27 20:04:46
93;74;p;2010-10-09 10:47:18;2014-04-21 11:14:21
6;7;a;2007-12-27 12:25:14;2014-03-30 04:56:59
11;32;r;2011-07-21 15:31:43;2013-09-17 07:47:34
8;69;r;2009-07-18 09:35:00;2013-05-02 05:43:43
42;47;a;2008-08-22 19:44:11;2013-10-15 01:29:37
88;77;p;2011-03-15 03:48:14;2014-02-26 00:16:19
28;61;r;2011-07-06 05:31:14;2014-07-20 09:44:15
36;74;p;2010-07-10 16:10:05;2014-10-08 12:12:49
48;84;r;2008-04-30 05:58:13;2013-08-22 10:36:16
90;29;p;2008-05-31 21:34:12;2014-04-15 19:20:52
61;21;r;2008-10-16 03:23:42;2013-11-15 23:19:29
89;34;p;2008-11-07 01:41:13;2012-12-10 10:28:47
81;77;r;2010-05-30 18:01:40;2014-05-16 09:26:52
53;14;r;2009-03-15 07:27:45;2013-05-03 19:43:45
75;59;p;2008-09-23 17:11:27;2013-03-06 13:04:06
33;70;r;2011-03-24 00:47:12;2013-03-14 19:21:21
54;92;a;2008-11-13 06:29:17;2014-04-23 00:32:04
21;92;r;2011-09-05 19:04:04;2014-05-03 03:50:33
13;2;p;2011-10-11 02:28:49;2014-03-24 14:45:39
35;96;a;2008-06-30 11:08:25;2013-03-20 12:27:20
73;87;a;2011-03-11 13:42:00;2014-08-20 03:07:04
100;78;p;2008-06-23 04:01:51;2014-07-24 05:02:32
37;40;r;2008-10-31 21:55:51;2013-09-30 06:03:52
10;22;r;2008-01-31 17:18:50;2014-07-09 10:51:14
13;83;a;2010-11-04 15:37:59;2013-03-23 17:41:31
75;49;p;2011-01-29 12:26:30;2014-09-10 17:24:08
51;62;r;2008-07-17 15:20:23;2013-02-17 22:07:33
57;21;a;2008-04-06 05:12:42;2014-08-05 04:31:15
7;82;p;2009-06-24 23:44:01;2013-03-27 07:39:16
60;60;r;2010-05-16 20:24:32;2013-07-08 04:30:56
100;65;p;2010-11-10 23:51:39;2014-07-29 01:44:05
86;16;r;2009-01-21 01:18:02;2014-11-06 13:08:02
99;78;p;2008-06-11 05:40:32;2013-02-26 17:17:39
27;45;r;2010-08-18 14:57:52;2013-05-05 06:34:47
6;49;r;2008-02-03 22:42:51;2014-06-10 14:19:45
69;61;r;2008-03-19 12:11:24;2013-09-17 12:42:43
43;46;a;2010-11-03 07:55:11;2013-08-08 04:03:40
5;62;a;2011-10-03 13:19:43;2013-08-02 10:36:17
26;65;a;2011-01-08 22:58:02;2014-06-20 17:32:58
80;84;p;2010-08-11 15:49:40;2014-05-05 11:56:52
62;40;r;2008-11-18 07:33:43;2014-04-25 22:41:01
84;11;r;2008-05-14 10:28:33;2014-01-14 08:30:24
60;25;p;2007-11-17 09:58:08;2012-12-27 21:12:30
86;42;a;2010-01-21 10:39:27;2014-10-28 07:38:46
87;84;p;2010-11-07 22:49:55;2014-05-26 05:22:37
46;28;r;2011-08-02 14:09:44;2013-09-01 07:08:37
92;8;r;2011-07-24 01:02:19;2014-01-13 14:26:35
92;91;r;2009-07-30 04:04:29;2014-06-09 18:51:45
31;2;p;2009-11-21 13:28:27;2014-05-10 00:59:47
13;4;p;2010-09-12 23:26:57;2013-12-23 15:45:09
29;54;a;2010-10-08 14:49:53;2013-01-31 16:15:13
96;1;r;2009-11-08 16:02:50;2013-05-01 00:31:45
84;70;a;2008-10-31 01:54:58;2014-06-12 23:02:31
98;69;r;2007-11-11 20:05:13;2014-08-30 01:13:52
76;82;r;2010-08-20 06:54:37;2014-08-28 11:55:47
72;11;a;2009-08-06 05:28:24;2013-09-02 15:58:56
13;60;a;2010-02-16 16:38:42;2014-01-09 10:13:05
63;19;r;2011-07-26 16:40:22;2013-01-01 04:18:33
73;94;p;2008-07-14 20:17:52;2013-04-17 08:55:10
94;45;r;2008-02-18 08:15:35;2014-02-15 19:06:02
15;24;a;2009-07-15 12:55:29;2013-06-03 08:17:39
92;6;p;2011-03-14 11:43:50;2014-04-10 16:35:52
87;63;r;2011-03-02 23:52:21;2013-08-09 16:11:10
74;55;r;2011-02-25 23:16:41;2013-12-05 12:33:15
14;76;p;2007-11-10 12:51:03;2013-05-03 21:10:54
95;5;r;2008-08-09 08:25:42;2013-02-22 09:28:44
98;71;r;2011-05-19 20:33:58;2013-01-26 23:06:29
15;84;a;2009-07-20 11:47:11;2013-01-11 15:11:32
8;75;r;2007-11-04 10:10:22;2014-05-07 10:30:16
