id_user,id_source,type,created_at,updated_at
22,167,1,2011-03-10 06:20:52,2014-01-15 21:41:38
93,298,0,2011-12-10 20:00:23,2013-03-20 01:00:34
43,324,0,2012-09-20 14:10:41,2014-06-30 05:39:14
38,25,0,2012-07-23 04:48:07,2014-09-16 23:25:03
4,21,1,2012-09-24 17:20:48,2013-07-29 00:01:46
26,266,1,2011-01-29 14:01:36,2013-10-24 13:06:19
39,266,1,2011-04-11 05:47:37,2013-12-25 23:16:59
87,218,1,2011-04-27 14:48:37,2013-04-22 18:40:53
1,293,1,2011-09-29 14:51:04,2014-01-25 06:40:11
80,387,0,2011-02-27 12:51:34,2014-06-09 20:50:17
73,73,1,2010-11-27 12:23:39,2013-02-17 05:16:27
11,44,0,2012-01-23 03:37:05,2014-02-05 20:49:49
66,213,0,2012-10-03 09:27:09,2013-05-20 14:34:15
25,361,0,2011-08-21 08:30:46,2014-02-22 07:46:51
88,375,0,2010-12-30 15:38:50,2012-12-15 03:56:23
38,78,1,2010-12-07 19:25:59,2013-01-12 04:16:45
50,233,1,2011-08-21 22:14:59,2013-10-03 06:45:44
67,180,0,2011-12-04 19:09:42,2014-10-10 13:12:17
83,183,1,2011-05-01 03:59:38,2012-12-10 07:38:35
18,102,1,2011-07-24 21:24:47,2014-07-01 08:33:55
80,391,1,2012-03-05 12:34:02,2014-07-30 13:22:58
84,35,0,2011-05-29 20:41:55,2013-07-14 01:38:23
62,296,1,2012-06-26 01:59:19,2014-10-30 00:06:09
22,393,1,2012-08-03 17:43:57,2014-08-11 18:15:46
88,344,0,2011-04-03 09:38:11,2014-01-13 02:29:24
59,96,1,2011-12-26 14:33:31,2013-10-07 09:26:30
96,292,0,2011-08-25 17:32:01,2013-11-24 19:16:57
100,157,1,2012-09-24 21:35:56,2014-04-28 11:22:32
59,87,0,2011-03-20 18:49:46,2014-02-05 13:06:54
92,157,0,2011-04-08 13:30:20,2014-09-08 08:56:32
22,74,0,2012-04-20 04:08:45,2014-01-28 18:36:46
69,7,0,2012-01-27 18:31:13,2013-06-22 09:55:54
28,252,0,2012-04-22 01:30:40,2013-03-24 07:53:25
40,337,0,2012-03-23 02:13:22,2014-10-03 09:43:41
43,285,0,2012-08-27 10:38:46,2012-12-02 20:19:01
40,118,0,2010-11-24 15:54:21,2014-02-07 23:33:54
56,101,0,2011-06-07 15:44:15,2014-06-28 03:13:27
31,101,0,2011-02-08 11:54:40,2013-10-14 21:37:38
51,336,1,2011-04-03 21:18:41,2013-02-16 11:43:46
17,302,0,2011-08-09 11:43:57,2013-02-03 20:41:23
9,385,0,2011-04-13 23:55:39,2014-07-13 21:22:11
98,261,0,2012-08-12 18:36:47,2013-10-13 03:03:23
96,371,1,2012-02-09 17:02:17,2013-07-07 18:48:12
69,132,1,2011-12-09 19:41:07,2014-07-22 02:28:46
40,302,0,2012-09-13 14:43:19,2014-03-22 21:36:33
97,61,1,2012-02-21 13:22:00,2014-11-14 05:33:30
79,284,1,2011-12-07 14:16:42,2014-07-24 04:12:42
33,8,0,2012-05-05 15:27:52,2013-06-24 17:16:33
27,211,0,2012-07-18 04:45:13,2014-04-02 03:08:03
43,278,1,2012-01-15 21:50:44,2014-06-05 23:38:07
98,311,1,2012-08-14 12:17:18,2014-08-06 14:33:52
71,301,0,2010-11-17 20:08:02,2013-11-23 16:37:25
47,285,0,2011-09-01 07:40:26,2014-07-16 02:24:03
85,158,1,2012-06-13 18:29:21,2013-03-09 19:53:14
8,315,0,2012-02-24 06:32:57,2014-01-21 00:50:37
2,302,1,2012-10-09 04:53:32,2012-12-12 18:49:55
26,214,0,2012-01-27 07:18:17,2014-02-22 04:17:40
76,344,0,2012-02-05 20:37:38,2013-09-09 17:02:59
50,52,1,2010-12-10 00:18:30,2013-01-05 22:04:34
9,220,1,2011-10-09 09:04:15,2013-01-14 20:25:35
44,209,0,2012-03-05 04:32:47,2013-05-21 05:36:52
76,93,0,2012-09-10 12:03:08,2014-06-07 13:38:19
72,276,1,2012-09-30 19:01:03,2014-02-09 16:32:52
62,215,0,2011-07-18 15:41:11,2013-11-21 15:23:18
85,244,0,2012-08-15 06:29:39,2014-01-29 14:53:57
84,251,1,2012-07-22 15:19:01,2014-07-13 12:30:19
98,354,0,2011-03-13 12:11:07,2014-07-11 14:09:49
83,256,0,2011-03-27 01:21:02,2013-08-22 04:34:16
70,57,0,2011-04-13 19:03:58,2014-09-13 23:11:54
10,92,1,2011-10-07 16:56:18,2014-05-21 23:17:32
20,266,0,2011-08-19 20:03:01,2013-09-14 20:00:14
7,167,1,2011-05-07 10:06:18,2013-12-26 04:33:20
