id_user,id_source,type,created_at
44,484,1,2014-11-07 07:48:24
5,470,1,2013-10-02 10:21:41
96,450,0,2014-08-13 16:36:20
49,505,0,2013-02-09 14:26:18
48,489,0,2014-03-30 15:49:01
56,494,0,2013-07-24 07:05:18
83,471,0,2013-09-14 11:58:34
68,495,0,2013-10-10 16:00:43
50,443,0,2013-10-15 15:09:29
59,471,1,2013-03-17 07:08:46
64,513,0,2013-06-28 20:44:56
16,518,1,2013-06-22 16:20:22
71,513,0,2014-10-03 16:53:30
73,463,1,2013-11-03 16:50:04
91,508,1,2013-12-23 18:53:04
11,465,0,2013-01-29 08:15:55
46,448,1,2013-06-01 20:54:25
93,513,0,2013-06-11 18:25:46
98,465,1,2014-10-03 11:44:49
26,521,0,2013-09-28 20:30:15
8,487,1,2014-09-27 08:45:50
49,502,1,2013-12-24 18:56:34
35,474,1,2013-06-09 09:40:33
44,447,0,2013-08-31 07:28:35
34,438,1,2014-03-25 12:59:58
88,448,0,2013-07-06 15:33:42
11,492,1,2014-03-07 07:33:38
80,484,0,2014-10-08 07:52:47
19,482,1,2014-11-07 13:51:11
74,506,1,2013-05-05 12:14:19
75,514,0,2013-06-14 04:04:33
65,465,0,2012-12-13 01:52:29
49,497,1,2014-02-04 05:09:52
22,443,1,2014-03-12 09:53:00
32,475,1,2014-07-12 00:59:57
26,463,0,2014-03-17 20:12:37
60,473,1,2013-06-13 05:23:07
15,453,0,2014-03-12 03:05:47
60,471,0,2013-12-25 22:07:56
44,445,1,2014-06-02 08:30:41
25,516,1,2013-02-17 18:04:05
69,482,0,2014-06-18 12:49:56
89,432,1,2013-06-12 03:46:52
58,453,0,2013-11-06 05:38:01
47,482,1,2014-10-09 03:13:02
47,507,1,2014-07-20 06:46:19
69,468,0,2014-03-05 23:07:22
57,482,1,2013-08-21 02:06:20
5,443,0,2013-05-23 16:49:51
9,485,0,2013-12-14 20:56:24
95,508,0,2014-05-22 06:39:12
71,478,1,2014-05-22 10:06:43
