id_user,id_source,type,created_at
87,414,0,2013-04-30 02:51:29
68,415,1,2013-09-11 08:28:18
62,423,0,2014-01-05 08:28:00
15,421,0,2013-06-20 12:16:30
42,414,0,2013-11-18 03:39:27
67,424,1,2014-03-23 00:22:35
3,418,0,2013-11-11 09:54:36
27,420,1,2013-11-04 19:40:26
73,417,0,2014-10-24 18:57:56
22,422,1,2013-12-29 07:29:09
18,421,1,2014-03-17 06:44:02
49,417,0,2014-03-06 09:05:57
12,424,1,2014-05-25 09:02:50
44,414,1,2013-11-09 06:48:41
87,419,1,2014-08-09 17:28:08
32,415,1,2013-05-27 11:33:01
100,415,1,2014-03-02 16:01:52
20,418,1,2014-03-16 21:39:39
7,415,1,2013-09-03 06:49:24
12,418,1,2013-07-28 22:01:55
94,420,0,2014-09-13 11:42:26
83,414,1,2013-07-07 10:15:59
84,415,0,2013-06-23 15:13:18
75,420,1,2013-02-21 08:14:10
36,418,0,2013-11-26 16:39:29
97,422,0,2013-02-07 06:44:41
50,422,0,2014-03-07 13:19:02
48,424,1,2014-11-11 03:33:03
1,414,1,2014-11-07 14:19:02
84,415,0,2013-04-03 15:22:31
46,414,1,2014-06-04 03:45:08
70,423,1,2013-06-01 01:00:52
26,422,0,2014-11-05 01:40:10
75,419,1,2014-08-18 16:48:17
30,423,0,2014-06-26 10:48:48
34,422,1,2013-08-31 13:08:27
51,417,1,2013-07-19 00:56:46
86,422,1,2013-06-07 14:21:43
64,422,1,2012-12-09 14:59:56
59,420,1,2014-04-15 07:42:55
92,414,1,2013-08-21 09:07:09
80,422,1,2012-12-15 04:49:25
72,414,0,2013-11-09 07:55:40
79,422,1,2013-10-21 03:41:08
45,414,1,2013-03-18 07:07:49
56,418,1,2014-01-18 18:38:10
44,423,1,2013-12-10 05:27:09
8,422,1,2014-09-08 14:18:28
68,418,0,2013-11-18 18:23:36
31,424,0,2013-06-25 04:41:58
8,423,0,2013-04-19 21:54:48
91,421,1,2014-02-15 21:33:39
65,418,1,2014-07-07 23:39:50
11,415,1,2013-04-26 07:40:21
6,420,1,2014-08-12 03:43:35
84,415,0,2014-05-20 14:45:20
41,420,1,2013-04-07 20:48:14
28,421,1,2012-12-12 04:32:06
93,417,0,2013-09-20 20:50:12
34,421,0,2014-08-10 10:16:32
37,422,1,2013-05-02 03:59:48
45,420,1,2014-09-17 11:54:02
30,417,0,2013-03-09 09:29:19
17,418,0,2014-08-06 12:30:27
80,418,1,2013-03-30 17:01:44
49,416,1,2013-10-18 11:14:14
57,421,1,2013-07-13 15:23:07
55,424,0,2014-04-10 08:38:33
27,423,1,2014-07-13 15:04:56
38,416,0,2014-01-14 23:46:48
45,420,1,2013-10-07 06:39:18
40,414,1,2012-12-19 18:45:56
1,417,1,2013-12-06 05:00:14
1,419,0,2013-10-30 09:44:56
18,417,1,2013-09-05 20:45:15
97,422,1,2013-03-08 03:46:01
91,417,1,2014-05-20 23:17:51
46,423,1,2014-11-26 22:20:16
69,415,0,2013-09-10 04:39:23
27,419,1,2012-12-06 15:07:05
50,424,0,2013-03-08 05:16:33
47,417,0,2014-09-21 09:08:55
7,418,1,2013-06-30 11:03:04
95,418,0,2013-12-23 12:38:22
21,420,0,2013-04-16 10:47:09
91,419,0,2012-12-14 17:48:45
88,418,0,2014-04-07 22:16:02
53,423,0,2013-12-27 13:31:43
12,420,0,2012-12-10 16:01:27
60,423,1,2014-06-05 16:30:05
28,417,1,2014-08-24 05:38:43
52,422,0,2013-02-03 11:05:16
79,423,1,2013-08-09 11:16:52
37,422,0,2013-12-11 11:35:54
43,414,1,2013-09-21 15:16:38
78,424,0,2014-07-06 12:41:48
89,422,1,2013-12-29 04:58:00
33,417,0,2013-08-11 18:58:46
65,418,0,2014-03-28 20:32:13
12,414,1,2013-02-26 05:36:55
