id_user,id_source,tag,created_at,updated_at
56,187,mauris,2010-11-28 06:00:09,2012-01-13 06:35:33
67,150,eu,2010-09-15 12:37:58,2012-12-27 03:23:16
88,250,"elit,",2007-12-28 08:55:13,2014-07-10 15:10:09
51,214,facilisi.,2008-01-10 06:23:47,2012-07-09 04:08:50
94,40,velit.,2011-08-29 01:14:07,2012-07-15 15:50:32
74,380,a,2009-09-19 02:54:43,2013-08-19 21:26:46
27,149,dictum,2008-08-11 22:24:08,2014-10-22 18:45:53
33,335,semper.,2011-07-06 17:23:32,2013-09-29 23:49:20
67,167,erat.,2011-10-30 07:53:55,2014-08-25 16:10:13
96,369,turpis,2009-01-14 19:15:29,2014-05-01 23:06:50
59,192,"a,",2008-10-09 03:34:12,2012-08-15 06:09:09
12,57,aliquet.,2009-05-10 17:12:41,2013-08-26 20:29:14
24,8,erat.,2009-05-31 13:54:04,2012-01-28 18:21:24
42,208,malesuada,2009-11-28 15:52:43,2013-01-12 12:40:41
64,183,metus.,2008-05-28 18:06:01,2012-03-17 17:02:37
98,79,ante,2008-09-01 04:56:26,2014-06-30 07:33:30
5,182,Fusce,2009-11-08 04:42:02,2012-04-13 21:45:58
23,313,eget,2009-05-14 22:50:37,2013-11-23 17:20:13
36,180,consequat,2008-09-17 07:08:48,2014-07-26 21:33:56
73,161,purus.,2009-08-13 22:03:02,2012-09-15 04:50:13
28,394,ridiculus,2008-10-01 22:23:05,2012-07-04 12:09:56
30,43,tellus,2011-05-04 12:00:28,2013-08-26 11:50:26
70,137,fringilla,2010-05-07 08:45:13,2012-08-22 02:39:47
72,303,ridiculus,2010-05-06 08:29:40,2013-01-12 09:34:33
28,156,et,2009-08-16 19:25:44,2012-07-22 08:49:36
94,147,Fusce,2008-01-12 17:39:56,2014-04-09 11:28:54
55,167,est,2008-08-13 11:32:55,2013-05-30 12:29:38
53,258,primis,2009-03-06 19:31:07,2012-02-27 01:04:20
36,3,magnis,2008-07-24 07:30:55,2013-04-19 05:11:53
60,293,arcu.,2008-10-21 16:09:50,2012-09-24 12:48:27
77,6,egestas.,2009-03-04 05:10:26,2012-06-01 00:30:12
42,125,augue,2009-03-25 05:58:13,2014-09-02 09:43:54
21,4,dis,2007-11-03 14:55:53,2014-03-22 07:04:05
2,289,arcu.,2008-07-09 00:57:11,2014-01-20 13:26:34
35,398,sem,2008-01-23 12:16:25,2013-03-27 09:02:27
14,370,"at,",2010-11-14 11:51:03,2013-10-10 14:50:30
12,188,dui,2010-09-14 13:38:06,2012-12-19 09:01:15
56,398,mollis,2011-03-03 06:26:15,2012-12-14 10:56:37
79,141,Sed,2009-07-25 17:18:21,2014-09-18 00:16:23
47,378,Pellentesque,2010-03-24 21:22:12,2014-02-21 02:53:52
55,284,egestas,2008-01-12 15:48:06,2013-03-22 03:34:35
62,50,vulputate,2011-01-10 10:29:36,2013-06-16 17:59:42
79,131,"elit,",2010-11-11 06:35:35,2012-06-08 07:35:42
31,136,"erat,",2010-06-22 04:09:16,2012-01-11 08:25:41
59,273,"vulputate,",2008-02-15 18:17:40,2012-05-25 08:40:16
26,326,lorem,2008-01-06 02:02:20,2014-08-11 01:20:25
30,372,eros,2011-03-18 11:46:11,2012-05-02 03:04:04
76,196,eros,2009-04-04 13:20:58,2012-12-31 14:58:23
87,110,bibendum,2010-05-02 14:42:01,2013-02-28 00:33:02
98,294,lobortis,2007-12-26 22:11:00,2012-10-05 12:56:52
