id_tag,id_user,type,created_at,updated_at
253,83,1,2011-08-12 19:14:23,2014-08-12 16:16:15
269,12,1,2009-09-09 10:25:59,2014-04-05 06:48:38
275,57,0,2010-06-25 19:05:17,2014-10-06 18:51:14
242,2,0,2011-06-09 19:08:01,2014-02-20 15:43:35
343,36,0,2008-07-14 19:50:33,2014-08-21 03:43:21
306,97,1,2010-12-26 07:11:09,2013-02-18 13:39:37
307,86,0,2009-10-30 02:31:27,2013-08-26 00:46:49
43,63,1,2011-01-19 00:10:40,2014-08-30 13:04:33
138,21,1,2012-06-14 14:34:16,2013-10-06 09:45:11
62,89,1,2008-11-09 20:01:43,2013-07-25 21:19:33
330,61,1,2012-05-09 11:04:03,2014-10-20 19:27:59
1,38,1,2008-02-25 08:43:36,2014-10-08 10:25:02
116,16,0,2012-07-29 02:40:07,2013-07-24 14:53:59
25,85,0,2008-10-15 20:30:49,2013-08-03 12:00:52
274,83,1,2010-04-20 15:25:06,2013-08-26 13:08:19
257,71,1,2007-11-27 06:33:25,2013-12-19 17:09:07
297,58,1,2008-12-14 09:52:01,2013-12-19 02:36:46
277,70,0,2011-10-30 21:24:50,2013-06-07 07:02:14
93,9,1,2008-09-10 05:37:08,2014-03-31 05:34:25
251,27,0,2008-03-26 05:18:02,2014-10-31 02:21:53
66,21,0,2009-07-30 13:56:31,2013-07-07 17:16:30
171,21,0,2007-12-14 23:23:38,2014-04-11 17:45:05
315,54,1,2010-05-20 21:59:10,2013-10-28 22:24:06
308,61,0,2011-11-28 10:44:08,2012-12-29 23:07:55
307,40,0,2011-03-27 19:14:12,2014-01-21 07:41:04
80,13,1,2010-12-11 14:16:14,2014-03-27 12:57:46
192,98,0,2010-09-24 02:32:09,2013-02-09 17:18:15
255,77,0,2010-04-21 03:40:24,2013-08-18 19:29:45
185,3,0,2010-05-23 05:34:58,2013-07-10 04:00:39
188,75,1,2008-10-31 06:46:00,2014-01-04 09:18:38
151,94,1,2012-03-03 16:08:05,2014-07-06 23:06:23
326,43,1,2009-07-07 09:11:03,2013-08-17 16:34:40
282,32,0,2011-10-03 18:43:40,2012-12-12 14:56:26
294,20,0,2008-05-13 10:16:03,2014-03-28 08:23:28
253,8,0,2009-02-15 20:57:09,2013-01-01 17:43:12
152,30,1,2009-07-16 15:35:53,2013-10-12 05:37:33
296,85,1,2012-09-22 01:53:50,2014-03-15 23:53:54
292,58,0,2011-07-18 08:56:59,2013-02-27 08:52:29
182,11,0,2008-03-20 18:05:16,2013-03-23 16:27:41
104,64,0,2009-12-17 05:51:51,2014-06-27 22:51:03
119,7,0,2012-05-15 12:37:27,2013-07-19 19:44:26
206,100,0,2008-06-30 20:00:41,2014-11-15 23:18:57
16,81,1,2011-10-10 02:06:05,2014-09-02 06:47:09
14,65,1,2008-02-27 12:50:54,2013-09-03 11:01:47
225,37,0,2009-02-18 16:57:38,2014-01-26 11:17:19
222,80,0,2008-03-13 11:14:54,2014-08-28 00:04:17
264,64,0,2010-09-26 05:55:20,2012-12-27 03:52:11
295,47,1,2011-03-21 10:49:51,2013-05-06 06:27:16
244,99,1,2010-03-29 08:42:32,2014-10-21 00:40:17
202,29,1,2012-08-31 06:29:28,2014-06-17 12:38:28
71,63,1,2009-08-16 15:21:16,2013-07-17 19:15:28
266,22,1,2007-12-11 16:02:44,2014-01-03 10:32:26
258,26,0,2012-04-06 07:15:43,2013-02-01 06:41:04
12,30,0,2011-06-14 16:08:36,2013-11-21 18:47:56
184,94,0,2010-09-21 02:27:19,2014-08-09 09:09:09
31,58,0,2009-09-03 07:14:29,2014-10-04 00:47:16
333,33,1,2010-12-16 10:14:21,2013-08-06 23:05:13
231,17,0,2008-08-20 05:31:20,2014-06-05 17:46:50
